inadimplente,util_linhas_inseguras,idade,vezes_passou_de_30_59_dias,razao_debito,salario_mensal,numero_linhas_crdto_aberto,numero_vezes_passou_90_dias,numero_emprestimos_imobiliarios,numero_de_vezes_que_passou_60_89_dias,numero_de_dependentes
0,0.0,64,0,0.073538769,11000.0,9,0,1,0,0.0
0,0.881836362,50,3,0.567858035,4000.0,9,0,1,0,1.0
0,0.9999998999999999,75,1,0.134078212,3400.0,1,0,1,0,1.0
0,0.363636364,26,0,0.00999001,1000.0,1,0,0,0,0.0
0,0.304490668,52,0,0.8083404740000001,3500.0,10,0,2,0,0.0
0,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0.0
0,0.46905684200000003,31,0,0.048211004,9250.0,4,0,0,0,1.0
0,0.718705378,28,0,0.17012561399999998,3661.0,4,0,0,0,1.0
0,0.061440132,62,0,0.011167837,3133.0,2,0,0,0,0.0
0,0.140110634,31,0,0.689370485,1937.0,4,0,2,0,0.0
0,0.834048027,38,0,0.393662026,13000.0,13,0,2,0,2.0
1,0.728150491,31,0,0.824725092,3000.0,10,0,2,0,1.0
0,0.028562367,51,0,0.306381499,5750.0,5,0,1,0,0.0
0,0.9920159679999999,29,0,0.008064515999999999,2231.0,1,0,0,0,0.0
0,0.070853769,55,0,0.073147745,13793.0,4,0,1,0,0.0
0,0.454971915,46,1,0.016921775,13000.0,10,0,0,0,1.0
0,0.401199782,64,0,0.35125893700000005,3216.0,4,0,1,0,0.0
0,0.655569945,35,0,0.261609907,5813.0,10,0,0,0,2.0
0,0.651603452,58,0,0.241135663,7783.0,11,0,1,0,0.0
0,0.027399502000000003,69,0,0.00803428,5600.0,3,0,0,0,0.0
0,0.337520702,60,0,0.549877805,4500.0,10,0,2,0,0.0
0,0.0,67,0,0.540983607,3720.0,2,0,1,0,0.0
0,0.750873672,55,2,0.316416365,7723.0,17,0,1,0,1.0
0,0.006799093000000001,27,1,0.6810457520000001,764.0,3,0,0,0,0.0
0,0.0042640790000000005,31,0,0.11144427800000001,2000.0,6,1,0,0,2.0
0,0.26948375,64,0,0.16106176,9455.0,13,0,1,0,3.0
0,0.265898391,36,0,0.262611807,8384.0,6,0,2,0,1.0
0,0.827708197,56,0,0.369590815,6793.0,15,1,1,0,0.0
1,0.13306279,49,1,0.182881653,10257.0,9,0,2,0,3.0
0,0.234218112,36,0,0.116614347,8600.0,19,0,0,0,3.0
0,0.12229593300000001,29,0,0.694646949,4800.0,5,0,1,0,0.0
0,0.46037631700000003,37,0,0.074155949,4975.0,6,0,0,0,0.0
0,0.335558577,69,0,0.270448637,15000.0,14,0,2,0,1.0
0,0.183316667,52,0,0.11113162300000001,10833.0,14,0,2,0,1.0
0,0.074861676,66,0,0.208842479,4500.0,3,0,1,0,0.0
0,0.054497069,56,0,0.492021814,4950.0,18,0,2,0,0.0
0,0.029164236,31,0,0.395031809,3300.0,10,0,1,0,0.0
0,0.0,58,0,0.31614487399999996,4886.0,9,0,1,0,1.0
0,0.0037496879999999997,64,0,0.004061230999999999,3200.0,5,0,0,1,0.0
1,0.734477501,45,0,0.591477634,4716.0,13,0,2,0,2.0
0,0.08056416799999999,60,0,0.4872889970000001,4916.0,15,0,2,0,0.0
0,0.023767432999999998,83,0,0.123797734,10500.0,13,0,0,0,0.0
0,0.888822236,34,0,0.368403802,3050.0,4,0,0,0,1.0
0,0.791173628,44,0,0.51241535,3100.0,5,0,1,0,0.0
0,0.24535301,37,0,0.288417167,6500.0,11,1,1,1,0.0
0,0.010531378999999999,57,0,0.280664917,5714.0,6,0,1,0,0.0
0,0.363199686,32,0,0.4805239570000001,2900.0,4,0,1,0,0.0
0,0.032617977,75,0,0.006799093000000001,7500.0,4,0,0,0,0.0
0,0.019387778999999997,34,0,0.32591852,4000.0,9,0,1,0,0.0
0,0.634485057,52,0,0.138238573,2690.0,2,0,0,0,0.0
0,0.888008615,44,0,0.299246282,4908.0,8,0,0,0,1.0
0,0.0031088490000000003,57,0,0.258939285,8333.0,7,0,1,0,0.0
0,0.11483094099999999,46,0,0.026235802000000003,6250.0,6,0,0,0,3.0
0,0.018886792,80,0,0.0034787790000000004,10060.0,5,0,0,0,0.0
0,0.6354151570000001,32,0,0.519493502,3000.0,4,0,1,0,1.0
0,0.9999998999999999,62,0,0.664221287,8314.0,8,0,3,0,0.0
0,0.096737158,47,0,0.009748781,8000.0,2,0,0,0,2.0
0,0.18698753399999998,52,0,0.023993145,3500.0,4,0,0,0,0.0
0,0.006541851,68,0,0.108089191,10000.0,10,0,2,0,1.0
0,0.180972181,39,1,0.384441575,3097.0,7,0,1,0,3.0
0,0.06790706,46,0,0.149103029,10200.0,6,0,2,0,0.0
0,0.015271802,68,0,0.12290366,8168.0,6,0,0,0,0.0
0,0.51712072,31,0,0.123752495,500.0,3,0,0,0,0.0
0,0.31797579600000003,34,0,0.297933792,4500.0,11,0,2,0,0.0
0,0.29759464199999996,67,0,0.239507959,4145.0,13,0,0,0,0.0
0,0.444837661,58,0,0.366545247,14000.0,9,0,2,1,4.0
0,0.003722015,58,0,0.63332301,3228.0,5,0,1,0,0.0
0,0.0,61,0,0.2226598,3300.0,14,0,1,0,0.0
0,0.0,59,0,0.35169962200000005,4500.0,12,0,1,0,0.0
0,0.011498563,77,0,0.001998002,1000.0,1,0,0,0,0.0
0,0.0,48,0,0.517468688,4550.0,7,0,2,0,0.0
0,0.163037489,81,0,0.086482558,2751.0,7,0,0,0,1.0
0,0.047311582000000005,51,0,0.10092034300000001,3150.0,5,0,0,0,0.0
0,0.083880003,53,0,0.19964753300000002,7943.0,8,0,1,0,0.0
0,0.093962275,55,0,0.112051635,9450.0,6,0,2,0,0.0
0,0.21955042,54,0,0.315983758,5417.0,20,0,2,0,1.0
0,0.147996253,55,0,0.323088235,6799.0,5,0,1,0,0.0
0,0.116676791,31,0,0.34359379100000004,3800.0,7,0,1,0,0.0
0,0.9999998999999999,38,0,0.43369976,5821.0,7,0,1,0,4.0
0,0.496911825,40,0,0.452363811,12500.0,11,0,2,0,2.0
0,0.130902106,48,1,0.427882174,3937.0,17,0,1,0,0.0
0,0.54699881,50,0,0.7480719790000001,3500.0,9,0,2,0,3.0
0,0.072277109,34,0,0.025911708,2083.0,2,0,0,0,0.0
0,0.0,48,2,0.370876375,3000.0,14,0,1,0,5.0
0,0.175932019,57,1,0.655812625,3500.0,9,0,1,0,1.0
0,0.050789842,30,0,0.315171207,4000.0,4,0,1,0,1.0
0,0.0,28,0,0.144616356,3166.0,7,0,0,0,0.0
0,0.21286031,36,0,0.563752087,9583.0,10,0,2,0,1.0
0,0.012682366,60,0,0.412979783,6825.0,20,0,2,0,0.0
0,0.040795358,49,0,0.801999355,3100.0,11,0,1,0,0.0
0,0.147712223,40,0,0.034847816000000004,6800.0,6,0,0,0,3.0
0,0.0,50,1,0.7265669929999999,3477.0,5,0,1,0,1.0
0,0.323719804,63,0,0.6108412670000001,5146.0,9,0,2,0,2.0
0,0.36459777,42,0,0.593899089,6916.0,7,0,3,0,0.0
0,0.170103002,36,0,0.138461538,7734.0,8,0,0,0,0.0
0,0.7718456309999999,33,0,0.8524295140000001,5000.0,7,0,3,0,0.0
0,0.05538241,72,0,0.089091313,4500.0,4,0,0,0,0.0
0,0.16653274,53,0,0.5436259489999999,7506.0,11,0,3,0,3.0
0,0.008632035,79,0,0.365151154,4200.0,9,0,1,0,0.0
0,0.13527952,58,0,0.342005076,9455.0,11,0,2,0,2.0
0,0.16757138900000002,69,0,0.330733853,5000.0,10,0,1,0,1.0
0,0.9999998999999999,69,0,0.0053191490000000004,2255.0,0,1,0,0,3.0
0,0.068335151,75,0,0.010927876000000001,10065.0,9,0,0,0,0.0
0,0.0,41,0,0.907538526,2400.0,6,0,1,0,0.0
0,0.676195456,55,0,0.436665827,3970.0,10,1,1,0,0.0
1,0.08533829300000001,51,0,0.47750362799999996,6200.0,11,0,1,0,0.0
1,0.0,25,0,0.152896812,2916.0,3,0,0,1,0.0
1,0.7864854059999999,44,0,0.291709578,3883.0,7,2,0,2,1.0
0,0.03833451,56,0,0.43891221799999997,5000.0,7,0,2,0,0.0
0,0.714980139,55,0,0.47090194,15000.0,12,0,2,0,3.0
0,0.043032042,64,0,0.33201638899999997,6833.0,14,0,2,0,0.0
0,1.095083357,53,5,0.536703799,3500.0,7,1,1,2,0.0
0,0.9999998999999999,55,0,0.156259612,3250.0,5,0,0,0,4.0
0,0.101430135,80,1,0.016196761,5000.0,9,0,0,0,0.0
0,0.231692268,40,0,0.119660709,3300.0,7,0,0,0,0.0
0,0.035489848,69,0,0.308438695,3400.0,9,0,1,0,0.0
0,0.045423864,64,0,0.18131128600000002,5200.0,4,0,1,0,0.0
0,0.311954668,61,0,0.269281443,9866.0,12,0,2,0,2.0
0,0.07873891599999999,46,0,0.166215372,4800.0,6,0,1,0,4.0
0,0.137609462,49,0,0.42953389200000003,7272.0,11,0,2,0,0.0
0,0.030173038,64,0,0.17386957,9000.0,8,0,1,0,0.0
0,0.021978375,40,0,0.44375562399999996,10000.0,12,0,5,0,2.0
0,0.443696851,27,0,0.024340075,5833.0,4,0,0,0,0.0
0,0.046640327999999995,92,1,0.034326669,2650.0,13,0,0,0,0.0
0,0.29236594899999996,50,0,0.420180551,8750.0,8,0,2,0,0.0
0,0.9999998999999999,66,1,0.358101135,1937.0,4,1,0,0,0.0
0,0.9999998999999999,62,0,0.04965839,6000.0,1,0,0,0,0.0
0,0.028113957000000002,61,0,0.031349387,2200.0,12,0,0,0,0.0
0,0.593985244,63,0,0.332698534,5250.0,4,0,2,0,0.0
0,0.017508178,73,1,0.13558915300000002,4166.0,12,0,1,0,0.0
0,0.611865678,72,0,0.04578345,7600.0,3,0,1,0,0.0
0,0.333060631,52,3,0.7001533740000001,5215.0,15,0,2,1,0.0
0,0.009025178,45,0,0.376836435,8167.0,4,0,1,0,2.0
0,0.260271523,44,0,0.29685480399999997,6962.0,11,0,1,0,0.0
0,0.455950788,63,1,0.701766078,6001.0,19,0,2,0,0.0
0,0.080288098,37,0,0.322446259,6000.0,7,0,1,0,0.0
0,0.181557324,36,0,0.56071964,2000.0,7,0,1,0,1.0
0,0.147123525,41,0,0.43602562100000003,6400.0,5,0,1,0,2.0
0,0.025601772000000002,63,1,0.262773723,10000.0,8,0,1,0,0.0
0,0.0,76,0,0.002465931,7704.0,3,0,0,0,0.0
0,0.196372799,43,0,0.5374855820000001,2600.0,10,0,1,0,0.0
0,0.08394524199999999,64,0,0.588073078,2900.0,6,0,1,0,0.0
0,0.034833091000000004,67,0,0.46024618700000003,12916.0,9,0,2,0,0.0
0,0.787522133,52,0,0.353860086,4416.0,12,0,0,0,1.0
0,0.125429152,55,0,0.476704659,5000.0,3,0,2,0,0.0
0,0.06037487,42,0,0.578676723,5833.0,17,0,2,0,2.0
0,0.295928252,47,0,0.283765445,14000.0,6,0,2,0,1.0
1,0.973339258,61,1,0.209961825,5500.0,11,0,0,1,1.0
0,0.002856735,73,0,0.000285687,10500.0,10,0,0,0,0.0
0,0.9999998999999999,68,0,0.040493251,6000.0,0,0,0,0,0.0
0,0.053431552,41,0,0.20364404,9000.0,3,0,1,0,0.0
0,0.732660667,44,2,0.14041952,9200.0,15,0,1,0,0.0
0,0.114561798,40,0,0.359964004,10000.0,20,0,2,0,2.0
0,0.012151003,78,0,0.008886914000000001,4500.0,12,0,0,0,0.0
0,0.08131073700000001,81,0,0.165566887,3333.0,4,0,0,0,0.0
0,0.09811305,49,0,0.257017809,6625.0,9,0,2,0,0.0
1,1.048210842,58,7,0.151956584,3500.0,12,0,0,0,0.0
0,0.011883886000000001,54,0,0.092913547,9750.0,8,0,1,0,2.0
0,0.75264947,33,1,0.05832286900000001,7166.0,6,0,0,0,0.0
0,0.112321289,53,0,0.266909775,8500.0,9,0,1,0,5.0
0,0.0,23,0,0.0,1725.0,1,0,0,0,0.0
0,0.6343270560000001,49,1,0.123125125,15000.0,7,0,0,0,1.0
0,0.15576324,44,0,0.278077082,4825.0,4,0,1,0,2.0
0,0.0,63,0,0.007988921999999999,9387.0,9,0,0,0,0.0
0,0.034645112,65,0,0.125189985,12500.0,4,0,1,0,1.0
0,0.4123986220000001,28,0,0.037259615,4991.0,5,0,0,0,0.0
0,0.976531824,32,0,0.264078812,6800.0,6,0,0,0,2.0
0,0.267541336,59,0,0.637607437,5700.0,13,0,2,0,1.0
0,0.019779326,76,0,0.267149259,2900.0,9,0,0,0,0.0
0,0.010402205,68,0,0.09414051699999999,3600.0,6,0,1,0,0.0
0,0.9999998999999999,61,0,0.529548989,1285.0,3,0,1,0,0.0
0,0.029816467000000006,68,0,0.175139978,4464.0,12,0,1,0,1.0
0,0.181713732,57,0,0.130453416,11666.0,17,0,1,0,1.0
0,0.051368557,68,0,0.44527736100000004,4668.0,10,0,1,0,2.0
1,0.22082371899999997,46,1,0.637749121,1705.0,5,0,0,0,0.0
0,0.008099838,69,0,0.389895596,8332.0,3,0,1,0,0.0
0,0.0,44,0,0.32638368100000004,6666.0,4,0,2,0,1.0
0,0.006099797,28,0,0.139429485,3750.0,8,0,0,0,0.0
0,0.909538698,53,1,0.5956539129999999,7500.0,16,0,1,0,1.0
0,0.941072508,40,0,0.178184282,8855.0,9,0,1,0,0.0
0,0.991667222,36,1,0.554878049,5411.0,10,0,2,0,1.0
0,0.11285525800000001,64,0,0.307576329,2652.0,6,0,1,0,0.0
0,0.9999998999999999,47,0,0.092163472,9493.0,2,2,0,1,0.0
0,0.9999998999999999,62,0,0.0,5480.0,3,0,0,0,0.0
0,0.074256375,49,0,0.34793041399999997,5000.0,11,0,2,0,3.0
0,0.14487840800000001,66,0,0.28446242,8900.0,9,0,1,0,0.0
0,0.19100193199999999,54,0,0.7056277059999999,5081.0,10,0,2,0,2.0
0,0.679813777,83,0,0.6895897559999999,4216.0,6,0,2,0,0.0
0,0.371875401,29,0,0.53628857,2300.0,9,0,1,0,3.0
0,0.025856407999999997,67,0,0.083799311,13054.0,13,0,1,0,0.0
0,0.547887778,29,1,0.24651504,2725.0,5,0,0,1,0.0
0,0.897203427,68,0,0.7878030490000001,4000.0,8,0,2,0,0.0
0,0.25889775,33,0,0.537441339,4900.0,3,0,1,0,1.0
0,0.0,55,1,0.03988553,5590.0,8,0,0,0,0.0
0,0.035940506000000004,46,0,0.271186441,6666.0,10,0,1,0,3.0
0,0.9999998999999999,66,0,0.04663391099999999,11600.0,2,0,0,0,1.0
0,0.465238835,66,0,0.39142767100000003,3172.0,8,1,1,0,0.0
0,0.8654230509999999,48,0,0.07584830299999999,500.0,1,0,0,0,0.0
0,0.6964116709999999,52,0,0.408871921,11000.0,11,0,1,0,4.0
0,0.5444976579999999,32,1,0.166766647,6667.0,5,1,0,0,0.0
0,0.081238383,51,0,0.066830086,7750.0,14,0,0,0,2.0
0,0.9487628090000001,27,0,0.144948404,4166.0,5,0,0,0,0.0
0,0.0,32,2,0.463610776,7460.0,10,0,1,1,0.0
0,0.016598893,30,0,0.13657561599999998,1500.0,5,0,0,0,0.0
0,0.063329564,37,0,0.329935275,6179.0,6,0,1,0,3.0
0,0.093638481,49,0,0.042836572999999996,8333.0,10,0,0,0,1.0
0,0.0,37,0,0.184027338,7900.0,5,0,1,0,5.0
0,0.730271957,36,1,0.632794037,5500.0,10,0,2,0,0.0
0,0.42637114200000004,62,1,0.406053995,3666.0,15,0,1,0,0.0
0,0.948978489,57,0,0.043744532,8000.0,3,0,0,0,1.0
0,0.0,59,0,0.0,4200.0,7,0,0,0,1.0
0,1.00264667,38,2,0.472542946,3550.0,8,1,0,1,4.0
0,0.022890604,37,0,0.28847729899999996,6100.0,16,0,1,0,0.0
0,0.283821988,63,0,0.7502008029999999,1244.0,9,0,0,0,0.0
0,0.155240525,52,0,0.483518065,6946.0,15,0,2,0,1.0
0,0.067259209,29,1,0.168340507,2090.0,3,0,0,0,0.0
0,0.284236153,45,1,0.318890815,7500.0,9,0,1,0,2.0
0,0.727560021,38,0,0.7124587459999999,2423.0,6,0,1,0,1.0
0,0.6877790970000001,62,0,0.24947116100000002,7090.0,15,0,0,0,0.0
0,0.033708851,41,0,0.40870635299999997,6500.0,9,0,1,0,2.0
0,0.0,29,0,0.193935355,3000.0,7,0,0,0,0.0
0,0.0,55,1,0.388320836,4400.0,4,0,2,0,1.0
0,0.053589282,87,0,0.001534331,5213.0,4,0,0,0,0.0
0,0.100773109,41,0,0.199761673,9230.0,7,0,1,0,0.0
0,0.399946674,28,0,0.18970257399999998,4000.0,6,0,0,0,1.0
0,0.052653171,43,0,0.5722921910000001,1984.0,9,0,0,0,4.0
0,0.072318616,71,0,0.4264124620000001,4300.0,8,0,2,0,1.0
0,0.9999998999999999,30,0,0.090341011,5600.0,1,0,0,0,0.0
1,0.880370887,43,0,0.46132376399999997,7523.0,6,0,1,0,1.0
0,0.36090757100000004,72,0,0.35667928600000004,3697.0,6,0,1,0,0.0
0,0.335737457,50,0,0.45722203,5773.0,9,0,1,0,1.0
0,0.507972665,69,2,0.193935355,3000.0,10,2,0,2,0.0
0,0.9999998999999999,37,0,0.18462563899999998,4500.0,2,0,0,0,1.0
0,0.630073985,38,0,0.563328034,1886.0,3,0,1,0,0.0
0,0.028423247000000002,59,0,0.033982276,14330.0,12,0,1,0,0.0
0,0.143427862,67,0,0.119463561,5666.0,9,0,0,0,0.0
0,0.186682782,30,0,0.698120752,2500.0,7,0,2,0,2.0
0,0.457526639,51,0,0.33358330199999997,8000.0,16,0,2,0,2.0
0,0.947264856,28,0,0.46717171700000004,1187.0,4,0,0,0,0.0
0,0.013916922,54,0,0.017655818,4700.0,7,0,0,0,2.0
0,1.047495906,35,2,0.314566116,3871.0,8,0,2,1,3.0
0,0.012586354,79,0,0.009596162,2500.0,11,0,0,0,0.0
0,0.543445655,46,0,0.267146571,5000.0,6,0,2,0,3.0
0,0.292541492,74,0,0.164917541,2000.0,3,0,0,0,0.0
0,0.024240472000000002,64,0,0.10151414199999999,10500.0,20,0,1,0,0.0
0,0.047650102,63,0,0.387956894,9000.0,6,0,2,0,0.0
1,0.7391464879999999,63,1,0.285156885,6150.0,12,0,0,0,1.0
0,0.186890655,54,0,0.655589124,3640.0,7,0,1,0,1.0
0,0.0075019369999999985,63,0,0.278226307,8050.0,13,0,2,0,3.0
0,0.522314625,45,0,0.29022909199999997,14491.0,13,0,1,0,3.0
0,0.903231566,57,0,0.13080895,5228.0,10,0,0,0,0.0
0,0.017043518,43,0,0.10821382,2300.0,6,0,0,0,1.0
0,0.466334165,34,2,0.007495315,3201.0,3,0,0,0,0.0
0,0.9999998999999999,60,0,0.0,4200.0,0,0,0,0,0.0
0,0.26790561399999996,76,0,0.28545299399999996,8200.0,12,0,0,0,0.0
0,0.029694361000000002,76,0,0.070513488,9600.0,7,0,0,0,2.0
0,0.305246317,39,0,0.188281635,10154.0,6,0,1,0,2.0
0,0.702493864,63,0,0.582162622,4697.0,8,0,2,0,1.0
0,0.7424360409999999,52,0,0.414081023,9700.0,10,0,2,0,0.0
0,0.9999998999999999,42,1,0.113421853,6250.0,3,3,0,1,2.0
0,0.002556199,58,0,0.115826132,7752.0,17,0,0,0,2.0
0,0.088845558,62,0,0.073772011,5394.0,5,0,0,0,0.0
0,0.006666096999999999,27,0,0.000268637,7444.0,5,0,0,0,0.0
0,0.014049648999999999,27,0,0.352214765,3724.0,4,0,1,0,1.0
0,0.9999998999999999,35,1,0.09298531800000001,3064.0,1,0,0,0,3.0
0,0.368866624,55,0,0.437996083,9700.0,18,0,2,0,0.0
0,0.17948776600000002,51,0,0.492529978,10173.0,19,0,4,0,0.0
0,0.026885902000000003,36,0,0.34487992100000003,11200.0,6,0,2,0,2.0
0,0.07083751,64,0,0.255290785,6000.0,6,0,0,0,1.0
0,0.030996074,56,0,0.131430952,4800.0,11,0,1,0,0.0
0,0.144914011,37,0,0.045366363,6700.0,5,0,0,0,0.0
0,0.020074662,36,0,0.334245422,4750.0,5,0,1,0,0.0
1,0.733885463,49,2,0.369223765,8785.0,20,0,2,0,2.0
0,0.03157211,39,0,0.644706486,3900.0,14,0,1,0,1.0
0,0.39770298200000004,38,0,0.41627543,5750.0,6,0,1,0,2.0
0,0.971352432,24,0,0.035803497000000004,1200.0,3,0,0,0,0.0
0,0.0,73,0,0.386728192,4550.0,18,0,0,0,0.0
0,0.9999998999999999,79,0,0.130140954,5178.0,6,0,1,0,0.0
0,0.003851709,81,0,0.000822143,3648.0,1,0,0,0,1.0
0,0.010887967,55,0,0.7251374309999999,2000.0,7,0,2,0,0.0
0,0.686083014,57,0,0.16069592,11667.0,6,1,1,0,2.0
0,0.212464485,58,0,0.518991188,3290.0,10,0,1,0,1.0
0,0.006956358,52,0,0.0032786890000000004,2439.0,4,0,0,0,0.0
0,0.073251754,51,0,0.44668812799999996,10250.0,9,0,1,0,2.0
0,0.026944485,41,0,0.686736475,4583.0,8,0,3,0,0.0
0,0.297094601,43,1,0.603763294,3666.0,9,0,1,0,2.0
0,0.922670104,40,0,0.207789429,9345.0,7,0,0,0,0.0
0,0.051077957,74,0,0.306409131,3416.0,9,0,1,0,0.0
0,0.319190816,49,0,0.35815338799999996,9400.0,18,0,2,0,0.0
0,0.0,57,0,0.785229953,6783.0,8,0,3,0,0.0
0,0.9999998999999999,40,1,0.19170579,3833.0,3,2,0,0,2.0
0,0.0,23,0,0.0,3500.0,1,0,0,0,1.0
0,0.028910707,52,0,0.013543599,5389.0,7,0,0,0,2.0
0,0.50329934,55,0,0.45405746799999996,3166.0,5,0,2,0,0.0
0,0.799981673,61,3,0.671076012,5064.0,19,0,3,1,0.0
0,0.069987933,33,0,0.11400478300000001,3762.0,7,0,0,0,0.0
0,0.067901335,69,0,0.065493451,10000.0,5,0,1,0,0.0
0,0.7406351609999999,39,0,0.432010059,5566.0,7,0,1,0,0.0
0,0.023382944,84,0,0.00912845,4600.0,6,0,0,0,0.0
0,0.9999998999999999,32,2,0.09558466800000001,2060.0,1,0,0,0,0.0
0,0.0,37,0,0.177007047,7236.0,5,0,1,0,3.0
0,0.9999998999999999,33,1,0.257707218,5416.0,2,2,1,0,1.0
0,0.05786766700000001,81,0,0.145685279,3939.0,13,0,0,0,0.0
0,0.07807727,60,0,0.566105156,3917.0,14,0,1,0,2.0
0,0.20194364199999998,46,0,0.39446055399999996,10000.0,15,0,2,0,3.0
0,0.077958915,57,0,0.05353022599999999,6500.0,19,0,0,0,0.0
0,0.20567648600000002,57,0,0.130309575,8333.0,8,0,1,0,0.0
1,0.9999998999999999,32,0,0.006731051,3416.0,1,0,0,0,3.0
1,0.57985084,42,0,0.594224361,2700.0,8,0,0,0,0.0
0,0.073393457,38,1,0.38476152399999997,10000.0,9,0,2,0,0.0
0,0.07917821900000001,82,0,0.176964607,5000.0,3,0,1,0,0.0
0,0.073123172,33,0,0.216405216,5290.0,9,0,0,0,0.0
0,0.745173448,68,0,0.168767792,4917.0,4,0,1,0,0.0
0,0.10088331,52,1,0.280494456,5500.0,6,1,1,0,2.0
0,0.34766523299999996,46,0,0.041583367,2500.0,1,0,0,0,1.0
0,0.354125994,57,0,0.558762411,4330.0,4,0,1,0,0.0
0,0.029643294,50,0,0.399106478,9400.0,15,3,4,0,0.0
0,0.540204354,34,0,0.034395414,7500.0,3,1,0,0,0.0
0,0.640927271,53,4,0.52409692,11266.0,17,0,2,0,3.0
0,0.058271403,76,0,0.374304267,4311.0,7,0,1,0,0.0
0,0.719305764,64,0,0.186225718,6228.0,5,0,1,0,0.0
0,0.045017363,72,0,0.020763906999999998,3900.0,8,0,0,0,0.0
0,0.35592819,48,0,0.478090767,7667.0,17,0,2,0,0.0
0,0.57762185,71,1,0.4925,6399.0,14,0,2,0,1.0
0,0.173428408,51,1,0.08626928199999999,5250.0,11,0,0,0,0.0
0,0.401789055,55,0,0.412779302,2550.0,11,0,0,0,0.0
0,0.301152442,46,0,0.254661625,7668.0,10,0,1,0,3.0
0,0.0,27,2,0.229139073,2264.0,5,2,0,1,0.0
0,0.067512585,43,0,0.44723563,9115.0,4,0,2,0,0.0
0,0.0,75,0,0.205971968,1640.0,4,0,0,0,1.0
0,0.993335555,31,0,0.068227425,4484.0,6,0,0,0,1.0
0,0.138793584,43,0,0.384074741,11666.0,9,0,5,0,0.0
0,0.19358480100000008,51,0,0.5327545379999999,3800.0,13,0,2,0,0.0
0,0.001124859,28,1,0.057990335,6000.0,8,1,0,0,0.0
0,0.485558448,51,0,0.09963548,6583.0,5,0,0,0,0.0
0,0.979521555,55,1,0.467850417,7433.0,11,0,2,2,0.0
0,0.090641506,69,0,0.016683266999999998,4015.0,2,0,0,0,0.0
0,0.38480769,42,0,0.533099636,7416.0,5,0,1,0,3.0
0,0.183676155,33,0,0.6605284229999999,2497.0,9,0,1,0,0.0
0,0.018124667,60,0,0.023181455,1250.0,4,0,0,0,1.0
1,0.9999998999999999,54,0,0.228402866,2372.0,2,0,0,1,0.0
0,0.290320472,48,0,0.262848568,7996.0,7,0,1,0,3.0
0,0.052161270999999995,49,0,0.06762939700000001,6993.0,5,0,0,0,1.0
0,0.412657703,66,1,0.195074372,4100.0,7,1,0,0,0.0
0,0.091201293,49,1,0.568886223,5000.0,15,0,2,0,0.0
0,0.500234532,46,0,0.27802595199999997,4700.0,10,0,1,0,1.0
0,0.611388611,22,0,0.34706616700000004,800.0,4,0,0,0,0.0
0,0.065630892,31,0,0.162635688,5250.0,10,0,0,0,0.0
0,0.499666889,39,0,0.450171821,3200.0,8,0,1,0,0.0
0,0.28947053899999997,44,0,0.48256140000000003,8916.0,17,0,2,0,1.0
1,0.8141545109999999,50,1,0.297139683,3600.0,8,0,1,1,1.0
0,0.016406971,55,0,0.0017857139999999999,5599.0,3,0,0,0,2.0
